data,hora,local,temperatura,humidade,intensidadeVento,precAcumulada,descDirVento,radiacao,fmc,fmc_teorico_pratico,ffmc_pratico,isi_pratico,s_pratico,dsr_pratico,fwi_pratico,ffmc0,dmc0,dc0,ffmc_teorico_12h,fmc_teorico_12h,isi_teorico_12h,bui_12h,s_teorico_12h,dsr_teorico_12h,fwi_teorico_12h,hora_ref,precAcumulada_24h
2025-07-03,12,Castanheira de Pera,30.8,45.0,1.0,0.01,N,3245.01,7.066,28.89,93.7,7.61,7.41,0.94,7.41,76.17,7.63,9.25,76.17,27.0,0.86,7.3,0.44,0.01,0.44,12.0,3.41
2025-07-03,13,Castanheira de Pera,31.1,44.0,1.1,0.01,N,3355.63,6.85,27.83,93.91,7.88,7.69,1.01,7.69,,,,,,,,,,,,3.41
2025-07-03,14,Castanheira de Pera,32.0,40.0,1.1,0.01,NE,3253.63,6.696,24.77,94.07,8.05,8.04,1.09,8.04,,,,,,,,,,,,3.32
2025-07-03,15,Castanheira de Pera,32.9,35.0,1.3,0.01,NE,2889.49,6.511,21.2,94.25,8.34,8.53,1.21,8.53,,,,,,,,,,,,3.23
2025-07-03,16,Castanheira de Pera,33.5,31.0,1.5,0.01,E,2517.6,6.339,18.85,94.42,8.63,8.95,1.32,8.95,,,,,,,,,,,,3.23
2025-07-03,17,Castanheira de Pera,32.1,41.0,1.3,8.3,N,1955.41,6.063,36.37,94.7,8.87,7.93,1.06,7.93,,,,,,,,,,,,11.23
2025-07-03,18,Castanheira de Pera,28.4,54.0,1.0,9.2,N,1313.97,6.141,60.05,94.62,8.65,3.04,0.19,3.04,,,,,,,,,,,,19.95
2025-07-03,20,Castanheira de Pera,25.0,60.0,1.0,3.6,S,136.18,6.143,76.53,94.62,8.64,9.23,1.39,9.23,,,,,,,,,,,,24.79
2025-07-03,21,Castanheira de Pera,23.2,65.0,0.8,2.5,SE,0.61,6.319,89.7,94.44,8.35,7.9,1.05,7.9,,,,,,,,,,,,26.86
2025-07-03,22,Castanheira de Pera,23.8,61.0,0.8,1.53,SE,0.7,6.426,83.34,94.34,8.23,7.84,1.04,7.84,,,,,,,,,,,,28.38
2025-07-03,23,Castanheira de Pera,24.1,59.0,0.9,0.1,S,0.6,6.62,79.28,94.14,8.05,7.84,1.04,7.84,,,,,,,,,,,,28.13
2025-07-04,0,Castanheira de Pera,24.1,55.0,0.8,0.01,SE,0.6,6.789,79.12,93.97,7.83,6.99,0.85,6.99,,,,,,,,,,,,28.04
2025-07-04,1,Castanheira de Pera,24.0,52.0,1.0,0.01,SE,0.1,7.046,74.65,93.72,7.63,6.91,0.83,6.91,,,,,,,,,,,,28.04
2025-07-04,2,Castanheira de Pera,23.3,53.0,0.8,0.01,S,1.05,7.218,79.01,93.55,7.38,6.63,0.77,6.63,,,,,,,,,,,,27.95
2025-07-04,3,Castanheira de Pera,23.2,58.0,0.9,0.1,S,0.79,7.456,84.22,93.31,7.17,6.32,0.71,6.32,,,,,,,,,,,,27.95
2025-07-04,4,Castanheira de Pera,22.8,61.0,0.7,0.1,SE,0.1,7.637,90.74,93.13,6.93,6.01,0.65,6.01,,,,,,,,,,,,27.65
2025-07-04,5,Castanheira de Pera,22.2,63.0,1.7,0.25,SE,0.2,8.03,87.86,92.75,6.9,5.91,0.63,5.91,,,,,,,,,,,,27.7
2025-07-04,6,Castanheira de Pera,22.7,60.0,1.0,0.1,SE,75.63,8.39,87.2,92.4,6.34,5.54,0.56,5.54,,,,,,,,,,,,27.7
2025-07-04,7,Castanheira de Pera,23.3,60.0,1.6,0.1,SE,482.22,8.68,81.74,92.11,6.28,5.51,0.56,5.51,,,,,,,,,,,,27.79
2025-07-04,8,Castanheira de Pera,25.7,53.0,1.9,0.01,NW,1157.94,8.8,66.17,92.0,6.27,5.8,0.61,5.8,,,,,,,,,,,,27.7
2025-07-04,9,Castanheira de Pera,26.4,49.0,1.5,0.2,N,1828.28,8.69,62.47,92.1,6.24,5.92,0.63,5.92,,,,,,,,,,,,27.89
2025-07-04,10,Castanheira de Pera,27.6,49.0,1.1,0.45,NW,2504.42,8.26,61.62,92.52,6.49,6.2,0.69,6.2,,,,,,,,,,,,28.33
2025-07-04,11,Castanheira de Pera,28.9,46.0,1.1,0.22,NE,2919.24,7.862,55.63,92.91,6.85,6.7,0.79,6.7,,,,,,,,,,,,28.54
2025-07-04,12,Castanheira de Pera,30.4,42.0,1.9,0.01,E,3235.71,7.495,45.26,93.27,7.5,7.51,0.97,7.51,64.52,7.28,-24.37,64.52,43.36,0.57,13.73,0.41,0.01,0.41,12.0,28.54
2025-07-04,13,Castanheira de Pera,30.7,38.0,1.7,0.01,N,3345.37,7.168,42.52,93.6,7.77,7.92,1.06,7.92,,,,,,,,,,,,28.54
2025-07-04,14,Castanheira de Pera,32.1,36.0,1.4,0.01,NE,3259.02,6.907,39.19,93.86,7.94,8.24,1.14,8.24,,,,,,,,,,,,28.54
2025-07-04,15,Castanheira de Pera,31.1,44.0,1.5,0.01,NE,2868.15,6.654,46.66,94.11,8.26,8.16,1.12,8.16,,,,,,,,,,,,28.54
2025-07-04,16,Castanheira de Pera,29.0,52.0,1.1,0.01,NE,2556.96,6.485,60.97,94.28,8.29,7.75,1.02,7.75,,,,,,,,,,,,28.54
2025-07-04,17,Castanheira de Pera,28.1,53.0,1.0,0.01,N,1936.12,6.474,62.86,94.29,8.26,7.81,1.03,7.81,,,,,,,,,,,,20.25
2025-07-04,18,Castanheira de Pera,27.2,55.0,0.9,0.4,N,1266.35,6.491,62.36,94.27,8.2,8.12,1.11,8.12,,,,,,,,,,,,11.45
2025-07-04,19,Castanheira de Pera,26.0,58.0,0.6,0.01,N,683.75,6.504,68.17,94.26,8.06,7.98,1.07,7.98,,,,,,,,,,,,9.76
2025-07-04,20,Castanheira de Pera,24.0,63.0,0.6,0.01,W,143.01,6.487,68.96,94.28,8.08,8.37,1.17,8.37,,,,,,,,,,,,6.17
2025-07-04,21,Castanheira de Pera,22.3,67.0,0.8,0.01,SE,0.94,6.635,61.31,94.13,7.99,9.62,1.49,9.62,,,,,,,,,,,,3.68
2025-07-05,0,Castanheira de Pera,22.0,60.0,0.9,0.01,S,0.2,6.833,46.15,93.93,7.82,3.11,0.2,3.11,,,,,,,,,,,,2.07
2025-07-05,1,Castanheira de Pera,22.4,63.0,0.9,0.01,S,0.01,6.813,47.54,93.95,7.84,2.59,0.15,2.59,,,,,,,,,,,,2.07
2025-07-05,8,Castanheira de Pera,23.2,65.0,1.1,0.5,NE,942.15,8.31,55.78,92.47,6.44,19.82,5.37,19.82,,,,,,,,,,,,3.04
2025-07-05,9,Castanheira de Pera,23.7,65.0,1.1,1.4,NE,1512.62,8.54,62.99,92.25,6.24,8.0,1.08,8.0,,,,,,,,,,,,4.24
2025-07-05,10,Castanheira de Pera,24.6,65.0,0.8,0.01,N,2311.23,8.23,60.42,92.55,6.42,9.91,1.58,9.91,,,,,,,,,,,,3.8
2025-07-05,11,Castanheira de Pera,26.0,63.0,0.9,0.6,N,2882.78,7.934,57.87,92.84,6.72,10.3,1.69,10.3,,,,,,,,,,,,4.18
2025-07-05,12,Castanheira de Pera,26.9,61.0,1.2,0.8,N,3193.39,7.611,56.45,93.16,7.13,9.48,1.46,9.48,58.07,6.45,-21.07,58.07,53.82,0.38,13.44,0.27,0.0,0.27,12.0,4.97
