data,hora,local,temperatura,humidade,intensidadeVento,precAcumulada,descDirVento,radiacao,fmc,fmc_teorico_pratico,ffmc_12h,dmc_12h,dc_12h,ffmc_teorico_12h,fmc_teorico_12h,isi_teorico_12h,bui_12h,s_teorico_12h,dsr_teorico_12h,fwi_teorico_12h,ffmc_pratico,isi_pratico,s_pratico,dsr_pratico,fwi_pratico,gap_detectado,dias_gap,hora_dados_12h
2025-07-03,12,Castanheira de Pera,32.5,35.8,1.92,0.0,S,,7.066,8.84,91.06,11.07,24.55,91.06,9.77,5.46,11.01,6.21,0.69,60.07,93.7,7.91,10.45,1.73,127.01,False,0,12
2025-07-03,13,Castanheira de Pera,33.64,32.4,1.93,0.0,S,,6.85,8.04,91.06,11.07,24.55,,,,,,,,93.91,8.16,10.86,1.85,134.5,False,0,12
2025-07-03,14,Castanheira de Pera,34.31,30.3,2.18,0.0,S,,6.696,7.53,91.06,11.07,24.55,,,,,,,,94.07,8.44,11.26,1.98,141.45,False,0,12
2025-07-03,15,Castanheira de Pera,34.84,28.9,2.22,0.0,SW,,6.511,7.17,91.06,11.07,24.55,,,,,,,,94.25,8.67,11.58,2.08,147.15,False,0,12
2025-07-03,16,Castanheira de Pera,35.04,27.9,2.27,0.0,SW,,6.339,6.94,91.06,11.07,24.55,,,,,,,,94.42,8.91,11.87,2.17,152.1,False,0,12
2025-07-03,17,Castanheira de Pera,34.25,29.7,2.8,0.0,W,,6.063,7.41,91.06,11.07,24.55,,,,,,,,94.7,9.5,12.41,2.35,159.66,False,0,12
2025-07-03,18,Castanheira de Pera,32.48,34.6,3.68,0.0,NW,,6.141,8.6,91.06,11.07,24.55,,,,,,,,94.62,9.83,12.5,2.38,158.59,False,0,12
2025-07-03,19,Castanheira de Pera,30.25,41.9,3.95,0.0,NW,,6.139,9.72,91.06,11.07,24.55,,,,,,,,94.63,9.96,12.31,2.31,152.26,False,0,12
2025-07-03,20,Castanheira de Pera,27.04,51.7,2.87,0.0,NW,,6.143,10.77,91.06,11.07,24.55,,,,,,,,94.62,9.43,11.38,2.01,134.13,False,0,12
2025-07-03,21,Castanheira de Pera,24.77,61.0,1.58,0.0,NW,,6.319,12.35,91.06,11.07,24.55,,,,,,,,94.44,8.62,10.28,1.68,115.77,False,0,12
2025-07-03,22,Castanheira de Pera,23.57,67.5,1.38,0.0,NW,,6.426,13.46,91.06,11.07,24.55,,,,,,,,94.34,8.41,9.91,1.58,109.16,False,0,12
2025-07-03,23,Castanheira de Pera,23.03,69.1,1.37,0.0,NW,,6.62,13.76,91.06,11.07,24.55,,,,,,,,94.14,8.19,9.65,1.5,105.51,False,0,12
2025-07-04,0,Castanheira de Pera,23.17,66.6,0.85,0.0,W,,6.789,13.01,92.01,16.07,33.93,,,,,,,,93.97,7.79,10.91,1.87,139.75,False,1,12
