data,hora,local,temperatura,humidade,intensidadeVento,precAcumulada,descDirVento,radiacao,fmc,fmc_teorico_pratico,ffmc_pratico,isi_pratico,s_pratico,dsr_pratico,fwi_pratico,ffmc0,dmc0,dc0,ffmc_teorico_12h,fmc_teorico_12h,isi_teorico_12h,bui_12h,s_teorico_12h,dsr_teorico_12h,fwi_teorico_12h,hora_ref,precAcumulada_24h
2025-05-18,15,Ferreira do Zêzere,19.9,68.0,3.8,1.59,W,1259.7,10.39,33.56,90.47,5.55,5.81,0.61,5.81,74.73,7.17,20.99,74.73,28.86,0.91,7.73,0.48,0.01,0.48,15.0,1.59
2025-05-18,16,Ferreira do Zêzere,17.5,79.0,1.1,0.1,NW,915.2,10.72,44.68,90.15,4.63,4.64,0.41,4.64,,,,,,,,,,,,1.69
2025-05-18,17,Ferreira do Zêzere,18.9,72.0,1.5,0.21,NW,1053.0,10.72,42.34,90.15,4.73,4.75,0.43,4.75,,,,,,,,,,,,1.9
2025-05-18,18,Ferreira do Zêzere,18.5,80.0,1.2,0.8,E,987.5,10.71,59.4,90.16,4.66,4.36,0.37,4.36,,,,,,,,,,,,2.7
2025-05-18,19,Ferreira do Zêzere,18.5,72.0,2.3,0.5,W,669.4,10.71,55.79,90.16,4.93,3.93,0.31,3.93,,,,,,,,,,,,3.2
2025-05-18,20,Ferreira do Zêzere,16.2,75.0,1.4,2.7,W,67.0,10.72,84.25,90.15,4.7,3.32,0.23,3.32,,,,,,,,,,,,5.9
2025-05-18,21,Ferreira do Zêzere,14.3,85.0,1.5,0.3,NW,3.9,11.27,102.03,89.63,4.39,2.85,0.17,2.85,,,,,,,,,,,,6.2
2025-05-18,22,Ferreira do Zêzere,13.2,92.0,1.4,0.3,N,2.7,12.02,118.86,88.93,3.95,2.35,0.12,2.35,,,,,,,,,,,,6.5
2025-05-18,23,Ferreira do Zêzere,12.2,95.0,0.5,0.31,SE,211.0,12.81,131.09,88.2,3.4,1.81,0.08,1.81,,,,,,,,,,,,6.81
2025-05-19,0,Ferreira do Zêzere,11.1,97.0,0.7,1.23,N,540.4,13.49,177.62,87.57,3.14,0.79,0.02,0.79,,,,,,,,,,,,8.04
2025-05-19,1,Ferreira do Zêzere,10.3,97.0,0.5,0.4,NE,326.6,14.2,180.48,86.93,2.83,0.63,0.01,0.63,,,,,,,,,,,,8.44
2025-05-19,2,Ferreira do Zêzere,9.8,97.0,0.7,2.76,N,264.5,14.95,190.67,86.25,2.6,2.61,0.15,2.61,,,,,,,,,,,,11.2
2025-05-19,3,Ferreira do Zêzere,9.8,98.0,0.7,0.54,SE,255.7,15.57,195.71,85.7,2.4,1.7,0.07,1.7,,,,,,,,,,,,11.74
2025-05-19,4,Ferreira do Zêzere,10.9,98.0,0.6,0.4,SE,254.4,16.54,196.74,84.83,2.12,1.08,0.03,1.08,,,,,,,,,,,,12.14
2025-05-19,5,Ferreira do Zêzere,10.9,98.0,0.8,0.1,NW,473.8,17.28,196.6,84.19,1.96,0.92,0.02,0.92,,,,,,,,,,,,12.24
2025-05-19,6,Ferreira do Zêzere,11.4,98.0,0.5,0.3,S,476.8,18.9,197.89,82.78,1.61,0.73,0.02,0.73,,,,,,,,,,,,12.54
2025-05-19,7,Ferreira do Zêzere,12.6,98.0,1.3,0.3,E,620.4,19.38,196.74,82.37,1.59,0.71,0.01,0.71,,,,,,,,,,,,12.84
2025-05-19,8,Ferreira do Zêzere,13.8,97.0,0.9,0.2,SW,805.2,19.06,193.28,82.65,1.62,0.73,0.02,0.73,,,,,,,,,,,,13.04
2025-05-19,9,Ferreira do Zêzere,14.7,96.0,0.7,0.8,S,1181.2,18.11,191.17,83.46,1.78,0.76,0.02,0.76,,,,,,,,,,,,13.84
2025-05-19,10,Ferreira do Zêzere,17.7,83.0,1.2,0.15,SW,2276.4,16.44,141.7,84.92,2.22,1.77,0.07,1.77,,,,,,,,,,,,13.99
2025-05-19,11,Ferreira do Zêzere,18.7,76.0,1.7,0.19,NW,1650.7,16.42,120.33,84.94,2.28,2.59,0.15,2.59,,,,,,,,,,,,14.18
2025-05-19,12,Ferreira do Zêzere,19.8,65.0,2.7,0.3,N,1505.9,15.19,94.35,86.03,2.79,10.88,1.86,10.88,44.04,4.91,5.26,44.04,81.05,0.08,4.54,0.03,0.0,0.03,12.0,14.48
2025-05-19,15,Ferreira do Zêzere,22.7,53.0,3.8,0.22,NW,2643.8,11.88,68.31,89.06,4.54,1.42,0.05,1.42,,,,,,,,,,,,13.54
2025-05-19,16,Ferreira do Zêzere,23.4,51.0,4.8,0.22,NW,2762.0,11.06,62.09,89.83,5.33,2.27,0.12,2.27,,,,,,,,,,,,13.66
2025-05-19,20,Ferreira do Zêzere,17.6,72.0,4.0,0.2,NW,53.4,10.89,100.57,89.99,5.24,2.0,0.09,2.0,,,,,,,,,,,,10.55
2025-05-19,23,Ferreira do Zêzere,14.3,90.0,1.8,0.16,N,3.2,13.09,160.05,87.94,3.49,6.53,0.75,6.53,,,,,,,,,,,,11.7
2025-05-20,0,Ferreira do Zêzere,13.5,92.0,0.8,0.2,N,0.1,13.9,157.63,87.2,2.99,3.42,0.24,3.42,,,,,,,,,,,,10.67
2025-05-20,1,Ferreira do Zêzere,12.5,95.0,1.4,0.37,NW,2.5,14.63,165.34,86.54,2.8,2.68,0.16,2.68,,,,,,,,,,,,10.64
2025-05-20,7,Ferreira do Zêzere,12.8,95.0,1.7,0.1,N,676.4,17.15,150.46,84.3,2.09,0.47,0.01,0.47,,,,,,,,,,,,7.47
2025-05-20,8,Ferreira do Zêzere,15.8,87.0,3.5,0.24,NW,1286.4,16.49,119.09,84.88,2.47,0.68,0.01,0.68,,,,,,,,,,,,7.51
2025-05-20,9,Ferreira do Zêzere,18.6,74.0,4.5,0.14,N,1972.5,15.55,84.12,85.71,2.92,0.99,0.03,0.99,,,,,,,,,,,,6.85
2025-05-20,10,Ferreira do Zêzere,20.9,61.0,3.8,0.25,NW,2630.0,14.53,66.8,86.63,3.2,1.73,0.07,1.73,,,,,,,,,,,,6.95
2025-05-20,11,Ferreira do Zêzere,22.6,55.0,3.3,0.8,NW,3117.5,13.64,60.58,87.44,3.51,2.14,0.1,2.14,,,,,,,,,,,,7.56
2025-05-20,12,Ferreira do Zêzere,24.1,51.0,3.5,0.15,NW,3436.8,12.75,53.45,88.25,3.98,2.76,0.16,2.76,55.92,5.33,2.38,55.92,57.56,0.36,4.69,0.15,0.0,0.15,12.0,7.41
2025-05-20,13,Ferreira do Zêzere,24.9,49.0,3.9,0.4,NW,3521.3,11.29,49.9,89.62,4.94,3.65,0.27,3.65,,,,,,,,,,,,7.71
2025-05-20,14,Ferreira do Zêzere,25.7,49.0,4.3,0.45,NW,3403.5,10.42,47.57,90.44,5.67,4.3,0.36,4.3,,,,,,,,,,,,7.83
2025-05-20,15,Ferreira do Zêzere,25.9,49.0,4.7,0.9,NW,3106.7,9.9,47.23,90.94,6.21,4.65,0.41,4.65,,,,,,,,,,,,8.51
2025-05-20,16,Ferreira do Zêzere,25.6,52.0,5.1,0.95,NW,2635.3,9.53,50.05,91.29,6.67,4.75,0.43,4.75,,,,,,,,,,,,9.24
2025-05-20,17,Ferreira do Zêzere,24.8,54.0,5.3,0.32,NW,1997.8,9.32,52.84,91.49,6.93,4.81,0.44,4.81,,,,,,,,,,,,9.17
2025-05-20,18,Ferreira do Zêzere,23.3,58.0,6.2,0.38,NW,1291.3,9.15,57.96,91.66,7.42,4.78,0.43,4.78,,,,,,,,,,,,9.39
2025-05-20,19,Ferreira do Zêzere,21.0,61.0,4.8,1.0,NW,526.0,9.18,69.83,91.63,6.89,3.7,0.28,3.7,,,,,,,,,,,,10.04
2025-05-21,0,Ferreira do Zêzere,14.5,88.0,2.4,0.15,NW,26.2,10.9,132.79,89.98,4.83,5.12,0.49,5.12,,,,,,,,,,,,9.28
2025-05-21,1,Ferreira do Zêzere,14.1,90.0,3.1,0.2,NW,8.0,11.12,136.13,89.78,4.85,5.06,0.48,5.06,,,,,,,,,,,,9.11
2025-05-21,2,Ferreira do Zêzere,13.9,91.0,2.3,0.1,N,0.7,11.33,141.72,89.58,4.53,4.56,0.4,4.56,,,,,,,,,,,,9.11
2025-05-21,3,Ferreira do Zêzere,13.7,93.0,2.6,0.1,NW,0.1,11.65,147.45,89.28,4.41,4.21,0.35,4.21,,,,,,,,,,,,9.11
2025-05-21,4,Ferreira do Zêzere,14.1,93.0,3.9,0.2,NW,1.7,11.83,143.13,89.11,4.59,4.78,0.43,4.78,,,,,,,,,,,,8.86
2025-05-21,5,Ferreira do Zêzere,14.1,93.0,2.5,0.1,N,12.2,12.22,145.11,88.75,4.06,4.71,0.42,4.71,,,,,,,,,,,,8.58
2025-05-21,6,Ferreira do Zêzere,14.2,92.0,3.1,0.15,N,84.4,12.67,140.4,88.33,3.94,4.66,0.41,4.66,,,,,,,,,,,,8.63
2025-05-21,7,Ferreira do Zêzere,15.6,87.0,4.6,0.1,NW,605.5,13.07,119.79,87.96,4.03,7.95,1.07,7.95,,,,,,,,,,,,8.63
2025-05-21,10,Ferreira do Zêzere,20.9,66.0,4.4,0.2,NW,2629.5,12.72,73.05,88.28,4.18,1.09,0.03,1.09,,,,,,,,,,,,8.41
2025-05-21,11,Ferreira do Zêzere,22.6,60.0,3.6,0.4,N,3112.4,12.24,64.54,88.73,4.28,2.17,0.11,2.17,,,,,,,,,,,,8.01
2025-05-21,12,Ferreira do Zêzere,24.4,56.0,4.5,0.1,NW,3381.3,11.71,54.89,89.22,4.81,2.92,0.18,2.92,57.2,5.24,-1.25,57.2,55.31,0.42,4.12,0.17,0.0,0.17,12.0,7.96
2025-05-21,13,Ferreira do Zêzere,25.4,56.0,4.1,0.01,NW,3483.6,10.54,53.03,90.33,5.52,3.65,0.27,3.65,,,,,,,,,,,,7.57
2025-05-21,14,Ferreira do Zêzere,26.1,54.0,5.1,0.01,NW,3421.1,9.85,47.35,90.98,6.38,4.53,0.39,4.53,,,,,,,,,,,,7.13
2025-05-21,15,Ferreira do Zêzere,26.0,55.0,4.1,0.01,---,2662.85,9.51,48.56,91.31,6.35,4.63,0.41,4.63,,,,,,,,,,,,6.24
2025-05-21,16,Ferreira do Zêzere,22.71,61.78,4.33,0.01,NW,2409.28,9.39,57.25,91.43,6.54,4.5,0.39,4.5,,,,,,,,,,,,5.3
2025-05-21,17,Ferreira do Zêzere,24.2,58.0,5.3,0.01,NW,2012.4,9.26,48.74,91.55,6.99,5.11,0.49,5.11,,,,,,,,,,,,4.99
2025-05-21,18,Ferreira do Zêzere,23.3,60.0,4.4,0.01,NW,1334.0,9.14,52.17,91.67,6.79,4.92,0.46,4.92,,,,,,,,,,,,4.62
2025-05-21,19,Ferreira do Zêzere,21.3,66.0,5.1,0.01,NW,591.0,9.16,54.38,91.65,7.01,5.01,0.47,5.01,,,,,,,,,,,,3.63
2025-05-21,20,Ferreira do Zêzere,18.9,74.0,6.4,0.1,NW,57.7,9.49,58.12,91.33,7.16,5.0,0.47,5.0,,,,,,,,,,,,2.93
2025-05-21,21,Ferreira do Zêzere,17.3,81.0,3.9,0.47,N,0.1,10.15,72.99,90.7,5.76,3.73,0.28,3.73,,,,,,,,,,,,3.05
2025-05-21,22,Ferreira do Zêzere,16.4,85.0,5.5,0.01,NW,7.9,10.78,73.75,90.1,5.74,3.8,0.29,3.8,,,,,,,,,,,,2.76
2025-05-21,23,Ferreira do Zêzere,15.6,87.0,3.3,0.2,N,5.2,11.28,82.3,89.63,4.8,2.9,0.18,2.9,,,,,,,,,,,,2.86
2025-05-22,0,Ferreira do Zêzere,15.0,89.0,2.9,0.15,NW,4.7,11.93,73.6,89.02,4.31,2.99,0.19,2.99,,,,,,,,,,,,2.86
2025-05-22,1,Ferreira do Zêzere,14.7,91.0,2.9,0.2,N,3.2,12.59,76.66,88.4,3.95,2.64,0.15,2.64,,,,,,,,,,,,2.86
2025-05-22,2,Ferreira do Zêzere,14.8,92.0,3.4,0.21,N,16.9,13.36,79.34,87.69,3.66,2.34,0.12,2.34,,,,,,,,,,,,2.97
2025-05-22,3,Ferreira do Zêzere,15.2,91.0,2.8,0.17,NW,11.9,14.08,79.3,87.04,3.23,1.94,0.09,1.94,,,,,,,,,,,,3.04
2025-05-22,4,Ferreira do Zêzere,15.1,92.0,2.7,0.3,N,11.3,14.81,82.67,86.38,2.93,1.59,0.06,1.59,,,,,,,,,,,,3.14
2025-05-22,5,Ferreira do Zêzere,14.6,94.0,3.1,0.2,N,12.3,15.31,87.64,85.93,2.8,1.41,0.05,1.41,,,,,,,,,,,,3.24
2025-05-22,6,Ferreira do Zêzere,14.6,94.0,3.2,0.18,NW,49.6,15.74,88.0,85.54,2.67,1.23,0.04,1.23,,,,,,,,,,,,3.27
2025-05-22,7,Ferreira do Zêzere,15.2,92.0,4.4,0.1,NW,348.6,15.91,82.51,85.39,2.78,1.4,0.05,1.4,,,,,,,,,,,,3.27
2025-05-22,8,Ferreira do Zêzere,17.0,85.0,5.4,0.21,NW,1215.9,15.65,70.56,85.62,3.02,1.75,0.07,1.75,,,,,,,,,,,,3.47
2025-05-22,9,Ferreira do Zêzere,19.7,76.0,5.1,0.15,NW,1962.5,14.65,56.9,86.52,3.37,2.29,0.12,2.29,,,,,,,,,,,,3.42
2025-05-22,10,Ferreira do Zêzere,21.3,69.0,4.7,0.01,NW,2589.5,13.69,48.25,87.39,3.74,2.82,0.17,2.82,,,,,,,,,,,,3.23
2025-05-22,11,Ferreira do Zêzere,23.8,54.0,5.9,0.2,NW,3011.1,12.65,34.08,88.35,4.55,4.0,0.32,4.0,,,,,,,,,,,,3.03
2025-05-22,12,Ferreira do Zêzere,24.9,48.0,6.5,0.15,NW,3362.2,11.72,29.92,89.21,5.31,4.89,0.45,4.89,71.16,6.65,3.11,71.16,33.68,0.9,6.01,0.42,0.01,0.42,12.0,3.08
