data,hora,local,temperatura,humidade,intensidadeVento,precAcumulada,descDirVento,radiacao,fmc,fmc_teorico_pratico,ffmc_12h,dmc_12h,dc_12h,ffmc_teorico_12h,fmc_teorico_12h,isi_teorico_12h,bui_12h,s_teorico_12h,dsr_teorico_12h,fwi_teorico_12h,ffmc_pratico,isi_pratico,s_pratico,dsr_pratico,fwi_pratico,gap_detectado,dias_gap,hora_dados_12h
2025-02-26,10,Ferreira do Zêzere,11.87,65.2,1.32,0.0,NE,,10.13,16.01,85.66,7.06,17.3,,,,,,,,90.72,5.04,4.76,0.43,38.81,False,0,12
2025-02-26,11,Ferreira do Zêzere,13.36,57.5,1.14,0.0,E,,9.82,15.56,85.66,7.06,17.3,,,,,,,,91.01,5.21,5.0,0.47,41.29,False,0,12
2025-02-26,12,Ferreira do Zêzere,14.4,51.8,0.74,0.0,SE,,9.69,15.28,85.66,7.06,17.3,85.66,15.61,2.38,7.05,1.69,0.07,16.78,91.14,5.2,5.04,0.48,42.13,False,0,12
2025-02-26,13,Ferreira do Zêzere,15.02,48.8,0.57,0.0,SW,,9.0,14.89,85.66,7.06,17.3,,,,,,,,91.8,5.66,5.53,0.56,46.52,False,0,12
2025-02-26,14,Ferreira do Zêzere,15.56,47.7,0.73,0.0,SW,,8.62,14.69,85.66,7.06,17.3,,,,,,,,92.17,6.02,5.89,0.63,49.79,False,0,12
2025-02-26,15,Ferreira do Zêzere,15.55,47.2,1.06,0.0,S,,8.56,14.61,85.66,7.06,17.3,,,,,,,,92.23,6.17,6.04,0.66,51.11,False,0,12
2025-02-26,16,Ferreira do Zêzere,15.24,46.2,1.46,0.0,SW,,8.38,14.51,85.66,7.06,17.3,,,,,,,,92.41,6.45,6.3,0.71,53.45,False,0,12
2025-02-26,17,Ferreira do Zêzere,14.06,54.6,1.58,0.0,SW,,8.15,15.56,85.66,7.06,17.3,,,,,,,,92.63,6.7,6.43,0.73,53.76,False,0,12
2025-02-26,18,Ferreira do Zêzere,12.59,63.5,1.49,0.0,W,,7.851,15.74,85.66,7.06,17.3,,,,,,,,92.92,6.95,6.55,0.76,53.97,False,0,12
2025-02-26,19,Ferreira do Zêzere,10.78,73.5,1.98,0.0,NW,,7.999,17.22,85.66,7.06,17.3,,,,,,,,92.78,6.98,6.49,0.74,52.63,False,0,12
