data,hora,local,temperatura,humidade,intensidadeVento,precAcumulada,descDirVento,radiacao,fmc,fmc_teorico_pratico,ffmc_12h,dmc_12h,dc_12h,ffmc_teorico_12h,fmc_teorico_12h,isi_teorico_12h,bui_12h,s_teorico_12h,dsr_teorico_12h,fwi_teorico_12h,ffmc_pratico,isi_pratico,s_pratico,dsr_pratico,fwi_pratico,gap_detectado,dias_gap,hora_dados_12h
2025-02-25,18,Mação,13.44,61.6,3.68,0.0,NW,,7.687,16.25,85.05,6.79,17.12,85.05,16.3,2.54,6.82,1.84,0.08,17.3,93.08,7.94,7.35,0.93,60.65,False,0,18
2025-02-25,19,Mação,12.02,68.4,4.01,0.0,NW,,7.657,16.7,85.05,6.79,17.12,,,,,,,,93.11,8.1,7.42,0.94,60.68,False,0,18
2025-02-25,20,Mação,10.49,75.4,4.13,0.0,NW,,7.807,17.88,85.05,6.79,17.12,,,,,,,,92.97,7.99,7.25,0.91,58.61,False,0,18
2025-02-26,10,Mação,11.75,65.7,1.58,0.0,NE,,9.76,16.04,85.77,7.88,19.45,,,,,,,,91.07,5.37,5.34,0.53,45.7,False,1,12
2025-02-26,11,Mação,13.41,57.2,1.59,0.0,E,,9.34,15.43,85.77,7.88,19.45,,,,,,,,91.47,5.69,5.74,0.6,49.83,False,1,12
2025-02-26,12,Mação,14.59,51.2,1.0,0.0,E,,9.26,15.13,85.77,7.88,19.45,85.77,15.49,2.45,7.87,1.96,0.09,19.28,91.55,5.59,5.7,0.59,50.02,False,1,12
2025-02-26,13,Mação,15.34,46.3,0.19,0.0,W,,9.1,14.55,85.77,7.88,19.45,,,,,,,,91.71,5.48,5.65,0.58,49.96,False,1,12
2025-02-26,14,Mação,16.0,44.4,0.53,0.0,W,,8.87,14.2,85.77,7.88,19.45,,,,,,,,91.93,5.75,5.95,0.64,53.0,False,1,12
2025-02-26,15,Mação,16.09,43.8,0.54,0.0,S,,8.82,14.12,85.77,7.88,19.45,,,,,,,,91.98,5.8,6.0,0.65,53.51,False,1,12
2025-02-26,16,Mação,16.09,41.9,1.11,0.0,SW,,8.62,13.82,85.77,7.88,19.45,,,,,,,,92.17,6.13,6.35,0.72,56.87,False,1,12
2025-02-26,17,Mação,15.34,46.4,1.41,0.0,SW,,8.38,14.48,85.77,7.88,19.45,,,,,,,,92.41,6.43,6.58,0.76,58.64,False,1,12
2025-02-26,18,Mação,13.95,58.3,1.61,0.0,SW,,8.08,15.43,85.77,7.88,19.45,,,,,,,,92.7,6.77,6.78,0.8,59.38,False,1,12
2025-02-26,19,Mação,12.25,64.5,2.01,0.0,W,,8.17,15.85,85.77,7.88,19.45,,,,,,,,92.61,6.83,6.74,0.8,58.39,False,1,12
2025-02-26,20,Mação,10.54,73.6,1.9,0.0,NW,,8.16,17.2,85.77,7.88,19.45,,,,,,,,92.62,6.8,6.65,0.78,56.9,False,1,12
2025-02-26,21,Mação,9.97,77.7,1.74,0.0,NW,,8.25,17.87,85.77,7.88,19.45,,,,,,,,92.53,6.66,6.5,0.75,55.32,False,1,12
