data,hora,local,temperatura,humidade,intensidadeVento,precAcumulada,descDirVento,radiacao,fmc,fmc_teorico_pratico,ffmc_pratico,isi_pratico,s_pratico,dsr_pratico,fwi_pratico,ffmc0,dmc0,dc0,ffmc_teorico_12h,fmc_teorico_12h,isi_teorico_12h,bui_12h,s_teorico_12h,dsr_teorico_12h,fwi_teorico_12h,hora_ref,precAcumulada_24h
2025-07-03,15,Oleiros,36.5,23.0,3.5,0.01,SW,2730.9,8.8,10.83,92.0,6.8,8.35,1.16,8.35,89.74,10.39,10.27,89.74,11.16,4.92,9.98,5.33,0.53,5.33,15.0,3.23
2025-07-03,16,Oleiros,36.9,22.0,4.0,0.01,S,2424.5,8.25,10.06,92.53,7.52,9.17,1.37,9.17,,,,,,,,,,,,3.23
2025-07-03,17,Oleiros,37.0,20.0,3.9,8.3,S,2231.7,8.17,14.14,92.61,7.56,8.44,1.19,8.44,,,,,,,,,,,,11.23
2025-07-03,18,Oleiros,36.5,19.0,3.9,9.2,SW,1484.9,8.0,15.73,92.78,7.74,8.01,1.08,8.01,,,,,,,,,,,,19.95
2025-07-03,19,Oleiros,35.4,19.0,2.5,1.7,SW,657.0,7.886,19.12,92.89,7.33,7.33,0.92,7.33,,,,,,,,,,,,21.64
2025-07-03,21,Oleiros,28.1,52.0,3.6,2.5,NW,0.2,8.15,48.52,92.63,7.47,11.75,2.13,11.75,,,,,,,,,,,,26.86
2025-07-03,22,Oleiros,26.7,56.0,3.7,1.53,NW,0.46,8.38,54.93,92.41,7.27,8.86,1.29,8.86,,,,,,,,,,,,28.38
2025-07-03,23,Oleiros,26.3,58.0,2.0,0.1,NW,0.6,8.64,63.24,92.15,6.44,7.85,1.04,7.85,,,,,,,,,,,,28.13
2025-07-05,0,Oleiros,25.3,60.0,1.0,0.01,N,0.2,8.83,32.82,91.97,5.97,6.78,0.81,6.78,,,,,,,,,,,,2.07
2025-07-05,1,Oleiros,23.7,66.0,0.3,0.01,N,0.01,9.21,39.03,91.6,5.47,6.11,0.67,6.11,,,,,,,,,,,,2.07
2025-07-05,2,Oleiros,22.9,69.0,0.8,0.01,NE,8.88,9.64,39.57,91.18,5.29,5.84,0.62,5.84,,,,,,,,,,,,2.07
2025-07-05,3,Oleiros,22.3,72.0,1.4,0.1,SE,11.34,10.02,40.35,90.82,5.17,5.66,0.59,5.66,,,,,,,,,,,,2.07
2025-07-05,4,Oleiros,21.2,77.0,0.9,0.1,E,1.11,10.49,45.2,90.37,4.73,5.09,0.49,5.09,,,,,,,,,,,,2.07
2025-07-05,5,Oleiros,20.0,82.0,0.5,0.23,NE,0.4,10.96,50.11,89.93,4.35,4.6,0.41,4.6,,,,,,,,,,,,2.05
2025-07-05,6,Oleiros,20.0,82.0,1.0,0.6,N,85.9,11.51,56.32,89.41,4.14,4.16,0.34,4.16,,,,,,,,,,,,2.55
2025-07-05,7,Oleiros,22.6,72.0,0.6,0.1,S,601.0,11.63,47.8,89.3,3.99,4.17,0.34,4.17,,,,,,,,,,,,2.55
2025-07-05,8,Oleiros,24.0,67.0,1.3,0.1,SE,1332.7,11.6,42.1,89.32,4.16,4.41,0.38,4.41,,,,,,,,,,,,2.64
2025-07-05,9,Oleiros,25.6,61.0,1.5,1.4,SE,2110.2,11.34,44.5,89.57,4.35,4.38,0.37,4.38,,,,,,,,,,,,3.84
2025-07-05,10,Oleiros,28.1,51.0,1.7,0.01,SE,2481.0,10.83,32.9,90.05,4.7,5.11,0.49,5.11,,,,,,,,,,,,3.4
2025-07-05,11,Oleiros,30.0,44.0,2.1,0.6,SE,2574.6,9.82,28.08,91.01,5.51,6.1,0.67,6.1,,,,,,,,,,,,3.78
2025-07-05,12,Oleiros,31.4,40.0,2.1,0.75,S,2673.4,9.27,26.57,91.54,5.94,6.57,0.76,6.57,77.93,10.75,9.36,77.93,24.76,1.04,10.29,0.64,0.01,0.64,12.0,4.52
2025-07-05,13,Oleiros,32.8,34.0,1.5,0.01,SW,2977.6,8.65,23.39,92.14,6.27,7.13,0.88,7.13,,,,,,,,,,,,4.52
2025-07-05,14,Oleiros,33.8,29.0,0.8,0.01,NW,3063.6,8.23,21.74,92.55,6.42,7.45,0.95,7.45,,,,,,,,,,,,4.52
2025-07-05,15,Oleiros,34.5,27.0,2.2,0.01,SW,2858.7,7.842,17.76,92.93,7.26,8.42,1.18,8.42,,,,,,,,,,,,4.52
2025-07-05,16,Oleiros,35.4,25.0,2.1,0.2,NW,2583.4,7.373,16.5,93.39,7.71,8.95,1.32,8.95,,,,,,,,,,,,4.71
2025-07-05,17,Oleiros,34.8,32.0,3.7,0.6,NW,2177.5,7.661,18.54,93.11,8.03,8.92,1.31,8.92,,,,,,,,,,,,5.3
2025-07-05,18,Oleiros,32.3,46.0,4.7,1.31,NW,1402.5,7.803,27.38,92.97,8.28,8.47,1.19,8.47,,,,,,,,,,,,6.21
2025-07-05,19,Oleiros,30.0,53.0,4.3,3.5,W,373.4,7.93,39.23,92.85,7.98,7.53,0.97,7.53,,,,,,,,,,,,9.7
2025-07-05,20,Oleiros,28.2,56.0,3.4,0.7,NW,127.3,8.03,47.26,92.75,7.52,6.9,0.83,6.9,,,,,,,,,,,,10.39
2025-07-05,21,Oleiros,27.9,53.0,3.2,0.1,NW,4.1,8.18,46.15,92.6,7.29,6.77,0.8,6.77,,,,,,,,,,,,10.48
2025-07-05,22,Oleiros,27.3,53.0,1.3,0.01,W,0.67,8.34,53.38,92.44,6.48,6.03,0.65,6.03,,,,,,,,,,,,10.48
2025-07-05,23,Oleiros,26.5,57.0,1.9,0.01,NW,0.2,8.66,56.01,92.13,6.39,5.82,0.61,5.82,,,,,,,,,,,,10.48
2025-07-06,0,Oleiros,26.0,59.0,0.6,0.01,NW,0.3,9.04,65.49,91.76,5.68,5.04,0.48,5.04,,,,,,,,,,,,10.48
2025-07-06,1,Oleiros,24.6,64.0,2.7,0.01,NW,107.4,9.47,63.65,91.35,5.95,5.11,0.49,5.11,,,,,,,,,,,,10.48
2025-07-06,2,Oleiros,24.0,66.0,0.1,0.1,NE,14.34,9.95,84.0,90.89,4.89,4.09,0.33,4.09,,,,,,,,,,,,10.57
2025-07-06,3,Oleiros,21.8,74.0,1.4,0.01,NE,15.13,10.45,87.2,90.41,4.88,3.87,0.3,3.87,,,,,,,,,,,,10.48
2025-07-06,4,Oleiros,21.2,78.0,1.1,0.01,NE,0.1,10.98,96.25,89.91,4.47,3.42,0.24,3.42,,,,,,,,,,,,10.39
2025-07-06,5,Oleiros,22.5,72.0,1.6,0.1,NE,1.2,11.48,81.5,89.44,4.29,3.4,0.24,3.4,,,,,,,,,,,,10.26
2025-07-06,6,Oleiros,23.9,63.0,2.4,0.2,NE,75.9,12.07,64.14,88.89,4.12,3.47,0.25,3.47,,,,,,,,,,,,9.86
2025-07-06,7,Oleiros,26.0,51.0,2.3,1.2,E,590.5,12.19,51.22,88.77,4.04,3.59,0.26,3.59,,,,,,,,,,,,10.96
