data,hora,local,temperatura,humidade,intensidadeVento,precAcumulada,descDirVento,radiacao,fmc,fmc_teorico_pratico,ffmc_12h,dmc_12h,dc_12h,ffmc_teorico_12h,fmc_teorico_12h,isi_teorico_12h,bui_12h,s_teorico_12h,dsr_teorico_12h,fwi_teorico_12h,ffmc_pratico,isi_pratico,s_pratico,dsr_pratico,fwi_pratico,gap_detectado,dias_gap,hora_dados_12h
2025-07-03,15,Oleiros,36.77,22.9,3.18,0.0,S,,8.8,5.34,94.69,12.86,25.32,94.69,6.08,9.67,12.74,11.02,1.9,123.17,92.0,6.64,10.0,1.6,129.84,False,0,15
2025-07-03,16,Oleiros,37.28,20.9,3.07,0.0,S,,8.25,4.86,94.69,12.86,25.32,,,,,,,,92.53,7.12,10.67,1.8,141.17,False,0,15
2025-07-03,17,Oleiros,37.24,19.3,2.84,0.0,SW,,8.17,4.55,94.69,12.86,25.32,,,,,,,,92.61,7.12,10.7,1.81,142.04,False,0,15
2025-07-03,18,Oleiros,36.24,19.9,2.53,0.0,SW,,8.0,4.83,94.69,12.86,25.32,,,,,,,,92.78,7.17,10.71,1.81,141.44,False,0,15
2025-07-03,19,Oleiros,34.12,23.8,3.32,0.0,W,,7.886,5.93,94.69,12.86,25.32,,,,,,,,92.89,7.58,11.0,1.89,144.14,False,0,15
2025-07-03,20,Oleiros,30.17,37.5,3.99,0.0,NW,,7.986,7.46,94.69,12.86,25.32,,,,,,,,92.79,7.74,10.67,1.8,134.09,False,0,15
2025-07-03,21,Oleiros,27.68,47.3,2.67,0.0,NW,,8.15,9.18,94.69,12.86,25.32,,,,,,,,92.63,7.08,9.61,1.49,115.55,False,0,15
2025-07-03,22,Oleiros,26.06,54.8,1.55,0.0,W,,8.38,10.37,94.69,12.86,25.32,,,,,,,,92.41,6.48,8.72,1.26,101.51,False,0,15
2025-07-03,23,Oleiros,25.02,59.0,1.34,0.0,W,,8.64,11.06,94.69,12.86,25.32,,,,,,,,92.15,6.19,8.27,1.15,94.7,False,0,15
2025-07-04,0,Oleiros,24.36,61.3,1.44,0.0,W,,8.93,11.49,94.68,18.4,34.97,,,,,,,,91.87,5.98,9.41,1.44,123.2,False,1,12
2025-07-04,1,Oleiros,23.0,66.2,1.41,0.0,W,,9.34,12.35,94.68,18.4,34.97,,,,,,,,91.47,5.64,8.86,1.29,114.07,False,1,12
2025-07-04,2,Oleiros,21.94,71.2,1.02,0.0,W,,9.83,13.16,94.68,18.4,34.97,,,,,,,,91.0,5.17,8.14,1.11,102.8,False,1,12
2025-07-04,3,Oleiros,21.3,75.5,0.9,0.0,W,,10.38,13.95,94.68,18.4,34.97,,,,,,,,90.48,4.77,7.52,0.97,93.54,False,1,12
2025-07-04,4,Oleiros,21.36,75.1,0.48,0.0,N,,10.91,13.72,94.68,18.4,34.97,,,,,,,,89.97,4.35,6.91,0.83,85.33,False,1,12
2025-07-04,5,Oleiros,20.84,77.9,1.51,0.0,E,,11.48,14.62,94.68,18.4,34.97,,,,,,,,89.44,4.24,6.72,0.79,82.49,False,1,12
2025-07-04,6,Oleiros,21.86,73.7,1.73,0.0,E,,12.01,13.79,94.68,18.4,34.97,,,,,,,,88.94,3.99,6.41,0.73,78.78,False,1,12
2025-07-04,7,Oleiros,24.36,63.4,1.82,0.0,E,,12.1,11.9,94.68,18.4,34.97,,,,,,,,88.86,3.96,6.5,0.75,81.19,False,1,12
2025-07-04,8,Oleiros,27.02,53.0,2.88,0.0,SE,,11.74,10.16,94.68,18.4,34.97,,,,,,,,89.19,4.38,7.32,0.92,93.81,False,1,12
2025-07-04,9,Oleiros,28.85,41.7,3.43,0.0,SE,,11.2,8.24,94.68,18.4,34.97,,,,,,,,89.7,4.85,8.22,1.13,108.46,False,1,12
2025-07-04,10,Oleiros,30.53,35.4,3.47,0.0,SE,,10.78,7.08,94.68,18.4,34.97,,,,,,,,90.1,5.14,8.8,1.28,118.56,False,1,12
2025-07-04,11,Oleiros,31.6,33.4,3.4,0.0,SE,,9.95,6.65,94.68,18.4,34.97,,,,,,,,90.89,5.74,9.73,1.53,134.04,False,1,12
2025-07-04,12,Oleiros,33.04,30.9,3.29,0.0,SE,,9.31,6.09,94.68,18.4,34.97,94.68,6.09,9.71,18.26,13.14,2.6,177.29,91.5,6.23,10.52,1.75,148.1,False,1,12
2025-07-04,13,Oleiros,33.97,29.6,2.81,0.0,S,,8.83,6.04,94.68,18.4,34.97,,,,,,,,91.97,6.49,10.94,1.88,156.05,False,1,12
2025-07-04,14,Oleiros,34.48,27.9,2.42,0.0,S,,8.33,6.04,94.68,18.4,34.97,,,,,,,,92.45,6.82,11.45,2.03,165.42,False,1,12
2025-07-04,15,Oleiros,35.03,27.0,2.14,0.0,S,,8.05,6.04,94.68,18.4,34.97,,,,,,,,92.73,6.99,11.72,2.12,170.68,False,1,12
2025-07-04,16,Oleiros,35.37,25.8,1.94,0.0,SW,,7.805,6.04,94.68,18.4,34.97,,,,,,,,92.97,7.15,11.98,2.21,175.9,False,1,12
2025-07-04,17,Oleiros,35.15,26.9,2.19,0.0,W,,7.727,6.04,94.68,18.4,34.97,,,,,,,,93.05,7.32,12.18,2.27,179.11,False,1,12
2025-07-04,18,Oleiros,33.85,30.6,3.3,0.0,W,,7.862,6.04,94.68,18.4,34.97,,,,,,,,92.91,7.6,12.41,2.35,181.98,False,1,12
