data,hora,local,temperatura,humidade,intensidadeVento,precAcumulada,descDirVento,radiacao,fmc,fmc_teorico_pratico,ffmc_12h,dmc_12h,dc_12h,ffmc_teorico_12h,fmc_teorico_12h,isi_teorico_12h,bui_12h,s_teorico_12h,dsr_teorico_12h,fwi_teorico_12h,ffmc_pratico,isi_pratico,s_pratico,dsr_pratico,fwi_pratico,gap_detectado,dias_gap,hora_dados_12h
2025-01-14,12,Praia do Ribatejo,10.2,39.4,5.06,0.0,E,,17.5,13.79,86.66,6.84,16.54,86.66,14.5,3.4,6.83,2.84,0.17,23.24,83.99,2.36,1.79,0.08,18.05,False,0,12
2025-01-14,13,Praia do Ribatejo,11.35,37.7,4.71,0.0,E,,15.77,13.42,86.66,6.84,16.54,,,,,,,,85.52,2.85,2.44,0.13,22.14,False,0,12
2025-01-14,14,Praia do Ribatejo,12.65,34.7,4.23,0.0,E,,14.62,12.84,86.66,6.84,16.54,,,,,,,,86.55,3.22,2.9,0.18,25.45,False,0,12
2025-01-14,15,Praia do Ribatejo,12.97,34.1,3.68,0.0,E,,13.76,12.72,86.66,6.84,16.54,,,,,,,,87.33,3.49,3.22,0.22,27.78,False,0,12
2025-01-14,16,Praia do Ribatejo,12.69,35.6,2.93,0.0,E,,13.39,13.0,86.66,6.84,16.54,,,,,,,,87.67,3.53,3.25,0.22,27.91,False,0,12
2025-01-14,17,Praia do Ribatejo,10.88,44.7,1.81,0.0,E,,13.02,14.37,86.66,6.84,16.54,,,,,,,,88.01,3.5,3.15,0.21,26.75,False,0,12
2025-01-14,18,Praia do Ribatejo,8.55,53.3,2.43,0.0,NE,,13.15,14.57,86.66,6.84,16.54,,,,,,,,87.89,3.55,3.14,0.21,26.22,False,0,12
2025-01-14,19,Praia do Ribatejo,7.61,56.4,2.27,0.0,NE,,13.71,14.96,86.66,6.84,16.54,,,,,,,,87.37,3.28,2.82,0.17,23.89,False,0,12
2025-01-14,20,Praia do Ribatejo,5.91,62.0,2.26,0.0,NE,,14.52,15.67,86.66,6.84,16.54,,,,,,,,86.64,2.95,2.41,0.13,21.1,False,0,12
2025-01-14,21,Praia do Ribatejo,5.32,64.1,2.22,0.0,NE,,15.1,15.93,86.66,6.84,16.54,,,,,,,,86.12,2.73,2.15,0.11,19.44,False,0,12
2025-01-14,22,Praia do Ribatejo,3.96,69.8,2.18,0.0,NE,,15.88,16.64,86.66,6.84,16.54,,,,,,,,85.42,2.48,1.81,0.08,17.37,False,0,12
2025-01-14,23,Praia do Ribatejo,3.18,71.4,2.05,0.0,NE,,16.6,16.85,86.66,6.84,16.54,,,,,,,,84.78,2.25,1.5,0.06,15.72,False,0,12
2025-01-16,0,Praia do Ribatejo,4.49,81.3,2.7,0.0,N,,13.76,18.33,86.7,7.76,18.68,,,,,,,,87.33,3.33,3.01,0.19,26.2,False,2,12
2025-01-16,4,Praia do Ribatejo,3.03,82.0,2.96,0.0,N,,16.69,18.49,86.7,7.76,18.68,,,,,,,,84.7,2.33,1.8,0.08,18.28,False,2,12
2025-01-16,5,Praia do Ribatejo,2.69,79.1,2.88,0.0,N,,17.52,17.98,86.7,7.76,18.68,,,,,,,,83.98,2.11,1.47,0.05,16.52,False,2,12
2025-01-16,6,Praia do Ribatejo,2.87,76.4,2.81,0.0,N,,18.15,17.56,86.7,7.76,18.68,,,,,,,,83.43,1.95,1.21,0.04,15.36,False,2,12
2025-01-16,8,Praia do Ribatejo,3.06,71.4,2.44,0.0,N,,18.31,16.86,86.7,7.76,18.68,,,,,,,,83.29,1.88,1.05,0.03,14.86,False,2,12
2025-01-16,9,Praia do Ribatejo,4.57,68.2,2.78,0.0,N,,17.75,16.44,86.7,7.76,18.68,,,,,,,,83.78,2.04,1.39,0.05,16.27,False,2,12
2025-01-16,10,Praia do Ribatejo,9.17,55.2,2.43,0.0,N,,16.14,14.68,86.7,7.76,18.68,,,,,,,,85.19,2.43,2.02,0.09,20.18,False,2,12
2025-01-16,11,Praia do Ribatejo,11.71,51.9,2.19,0.0,N,,14.7,14.39,86.7,7.76,18.68,,,,,,,,86.48,2.87,2.62,0.15,24.41,False,2,12
2025-01-16,12,Praia do Ribatejo,13.55,49.1,2.3,0.0,N,,13.64,14.39,86.7,7.76,18.68,86.7,14.45,2.98,7.74,2.59,0.15,23.1,87.44,3.31,3.18,0.21,28.67,False,2,12
2025-01-16,13,Praia do Ribatejo,14.86,48.7,2.44,0.0,N,,12.73,14.38,86.7,7.76,18.68,,,,,,,,88.27,3.76,3.72,0.28,32.88,False,2,12
2025-01-16,14,Praia do Ribatejo,15.74,49.5,2.84,0.0,NW,,12.0,14.37,86.7,7.76,18.68,,,,,,,,88.95,4.23,4.24,0.35,37.15,False,2,12
2025-01-16,15,Praia do Ribatejo,15.93,50.3,3.36,0.0,NW,,11.47,14.39,86.7,7.76,18.68,,,,,,,,89.45,4.66,4.7,0.42,40.93,False,2,12
2025-01-16,16,Praia do Ribatejo,15.56,53.4,3.61,0.0,NW,,11.33,14.39,86.7,7.76,18.68,,,,,,,,89.58,4.81,4.83,0.44,41.84,False,2,12
2025-01-16,17,Praia do Ribatejo,13.76,62.4,3.33,0.0,NW,,11.41,15.07,86.7,7.76,18.68,,,,,,,,89.5,4.69,4.63,0.41,39.59,False,2,12
2025-01-16,18,Praia do Ribatejo,10.92,74.8,3.07,0.0,NW,,11.82,17.04,86.7,7.76,18.68,,,,,,,,89.12,4.38,4.23,0.35,35.64,False,2,12
2025-01-16,19,Praia do Ribatejo,9.63,79.5,2.8,0.0,NW,,12.41,17.89,86.7,7.76,18.68,,,,,,,,88.57,3.99,3.79,0.29,32.1,False,2,12
2025-01-17,1,Praia do Ribatejo,6.45,76.7,3.33,0.0,E,,17.9,17.54,86.75,8.55,20.53,,,,,,,,83.65,2.06,1.59,0.06,18.06,False,1,12
2025-01-17,2,Praia do Ribatejo,6.95,70.7,3.93,0.0,E,,18.94,16.68,86.75,8.55,20.53,,,,,,,,82.75,1.9,1.32,0.04,16.72,False,1,12
